19051;59362974	5;1619861310
22456806;50751280	5;1633526754
22456806;11347712	5;1626072429
22456806;77900455	5;1634622408
19051;87391040	5;1706948247
19051;87391040	5;1706948247
19051;93734072	5;1640160683
22456806;93734072	5;1633065530
22456806;74460138	5;1628600361
22456806;9687410	5;1632900288
22456806;84970842	5;1629275012
21263850;197344445	5;1673520256
22456806;49022920	5;1629442659
22456806;139979523	5;1644244099
22456806;73315372	5;1633053828
22456806;5852523	5;1639590147
22456806;176824201	5;1667212158
22456806;143217516	5;1639590133
22456806;46723660	5;1644244106
21263850;192909290	5;1673587197
21263850;192909290	5;1673587197
22456806;77324133	5;1631771514
19051;72308266	5;1672242104
22456806;42180466	5;1625713807
21263850;196016786	5;1663297836
22456806;102629319	5;1628825999
19051;152875148	5;1670084991
22456806;152875148	5;1644244087
21263850;195801663	5;1661651929
22456806;54266568	5;1627979373
22456806;84950233	5;1635394240
21263850;193434489	5;1673520265
21263850;193434489	5;1673520265
22456806;7833729	5;1626165446
22456806;188535074	5;1667212273
22456806;188535074	5;1667212273
22456806;55589743	5;1629185064
21263850;193434493	5;1673520264
22456806;106863964	5;1635394237
22456806;42230122	5;1629278472
22456806;49747008	5;1636992773
22456806;55119956	5;1633774644
22456806;76388963	5;1625641364
22456806;52789368	5;1625989679
22456806;55605171	5;1635740282
22456806;67491399	5;1638605269
19051;67491399	4;1676693869
22456806;56218386	5;1634622418
19051;116406679	5;1691245438
19051;149257066	5;1640160717
22456806;149257066	5;1640971609
21263850;174215348	5;1677556593
22456806;11336582	5;1626335659
21263850;189657055	5;1665403297
21263850;189657055	5;1658358210
22456806;124767706	5;1633598257
19051;76013379	5;1678894049
22456806;67991601	5;1629348483
22456806;161008718	5;1645197974
22456806;174842859	5;1667212130
22456806;113530807	5;1633074409
1635513;123547399	5;1651756673
1635513;123547399	5;1651756673
1635513;197214017	5;1666536984
1635513;197214017	5;1666346690
1635513;197214017	5;1666536984
1635513;197214017	5;1666346690
1635513;126998622	5;1643363639
1635513;126998622	5;1643363639
1635513;23564916	5;1614674456
1635513;128678720	5;1649766345
1635513;128678720	5;1649766345
11878;191478226	5;1612756465
11878;66630919	5;1623039853
11878;72214455	5;1662212304
11878;72214455	5;1662212304
11878;71432	5;1648593671
11878;49865607	5;1674820907
11878;49865607	5;1626507700
11878;68772035	5;1663243268
11878;66489595	5;1612582635
11878;188022565	5;1626353118
11878;188020860	5;1618272924
11878;57044927	5;1694483689
11878;160299783	5;1653994641
11878;24030106	5;1674908302
11878;116407261	5;1657579989
11878;116410160	5;1639177285
11878;35043573	5;1694739374
11878;116410120	5;1639177277
11878;309744	5;1694739339
1635513;11357194	5;1608880206
1635513;111537690	5;1641783181
1635513;4781791	5;1637669327
1635513;73878874	5;1616765906
1635513;51244266	5;1609168707
1635513;51830751	5;1608880223
1635513;8885996	5;1604398948
1635513;110448023	5;1632189753
1635513;90643155	5;1621049529
11878;171549984	5;1674820887
11878;73787186	5;1612414447
11878;188534369	5;1660098541
1635513;3304877	5;1596674521
1635513;58627103	5;1598774401
11878;138934621	5;1663139716
1635513;13419679	5;1596550124
1635513;52788073	5;1623037981
1635513;164091968	5;1608122252
1635513;19274772	5;1619095716
1635513;72542476	5;1608122247
1635513;121185871	5;1635157186
1635513;8886002	5;1634717833
1635513;72542510	5;1639211677
1635513;96357337	5;1641783171
1635513;106863965	5;1637669324
1635513;72459687	5;1619095733
1635513;29190891	5;1638848840
1635513;100376370	5;1625205632
