22790914;10597626	3;1582035428
22790914;152447526	3;1602041400
19218145;14678376	2;1656327069
5805909;117842	1;1645778622
19218145;117842	1;1590058469
22790914;4534533	1;1710898175
5805909;32069557	1;1638343781
5805909;58437310	3;1599801921
5805909;107872665	3;1715082813
22790914;3480335	3;1577694647
5805909;3480335	1;1661497606
5805909;33494727	1;1642206148
22790914;137738014	2;1596984032
19218145;48537881	3;1663429424
22790914;152447540	1;1634727248
5805909;36626941	2;1665467576
19218145;36626941	3;1607066665
19218145;92969	3;1691475828
19218145;57694140	2;1637584647
22790914;54353865	1;1593915944
22790914;54353865	3;1588901406
22790914;1460201	3;1610030104
22790914;24411504	3;1604505195
22790914;36627594	1;1618991870
5805909;184063679	1;1660644930
19218145;184063679	1;1705563313
19218145;33494722	2;1592363195
5805909;56880197	1;1628426977
22790914;2130493	2;1570372722
22790914;56941526	3;1605073490
19218145;2130487	3;1705987414
5805909;696677	3;1612571236
5805909;72652202	2;1664801118
5805909;195653687	1;1611278819
19218145;1025034	3;1553237645
22790914;782921	3;1554707835
19218145;73124604	3;1636842987
22790914;182971944	2;1671616482
22790914;718534	3;1586238407
19218145;88949153	1;1625147602
22790914;66489595	3;1611157956
19218145;68347467	3;1624682567
5805909;68347467	3;1607334888
22790914;59320836	3;1611063783
5805909;65032427	1;1637671972
5805909;191387814	1;1708255974
5805909;23957553	3;1597755585
22790914;2791839	3;1578736606
19218145;57762733	3;1599232363
22790914;26114400	3;1602910474
5805909;750581	3;1575436526
19218145;55506687	1;1639588511
22790914;73222801	3;1610839464
19218145;3304877	3;1650066074
19218145;58627103	1;1597374119
5805909;50475522	3;1637069622
22790914;107802190	1;1631635268
19218145;127522207	1;1660644900
22790914;127522207	3;1635663025
22790914;127522207	2;1626099124
19218145;164091968	1;1585884635
19218145;164091968	3;1601638400
5805909;1449791	3;1614163511
22790914;268145	1;1668418858
5805909;100947277	1;1698932510
5805909;195190109	3;1680843714
5805909;52597664	2;1638075735
22790914;52597664	1;1598247379
22790914;22528675	1;1615182296
22790914;106863965	3;1644737045
19218145;100376370	2;1629082473
19218145;10379318	3;1599576779
22790914;125089637	2;1645940585
19218145;49722651	1;1607944634
5805909;46240930	3;1634700475
5805909;7556501	1;1585365125
22790914;137741278	3;1643249387
5805909;121185873	3;1637126915
5805909;45663009	3;1589954801
22790914;8886000	2;1639699721
22790914;238688	1;1585230447
22790914;3718337	3;1589544126
5805909;186088880	1;1678610944
22790914;117238178	3;1639747338
19218145;1566605	3;1596267914
19218145;59010154	2;1611497002
19218145;19792257	3;1635849092
22790914;11371250	3;1597416878
19218145;126743466	3;1657125490
5805909;22725675	3;1604498711
5805909;50751280	3;1603258506
5805909;109017987	3;1653019381
22790914;8886006	1;1593954033
19218145;74021318	1;1651999360
5805909;6807851	1;1542264360
19218145;48592473	2;1623824609
22790914;73315372	2;1650900991
5805909;55639167	3;1610799568
19218145;8835160	3;1587022446
22790914;8835160	3;1603696369
22790914;137241848	2;1649147666
19218145;103640414	2;1641032743
22790914;189657055	2;1670330250
19218145;72290297	3;1607512715
22790914;182548600	1;1654509693
22790914;71907877	1;1615875273
5805909;159259323	3;1647484223
5805909;161008718	3;1667358422
1997229;200816614	1;1649235393
8225048;2766941	3;1646635970
1997229;274112780	2;1606531592
8225048;270823357	3;1638753089
8225048;270823357	3;1565149036
8225048;23564916	1;1623665873
8225048;23564916	3;1598191074
1997229;9834969	1;1637204865
8225048;19759193	3;1584951181
8225048;125798	1;1565769612
1997229;10205811	3;1547688391
8225048;10405000	3;1628730266
1997229;122792	2;1603797567
8225048;35339683	3;1632308879
1997229;50632578	1;1647138685
8225048;951628	2;1508952878
8225048;22987272	3;1606138530
1997229;83483380	1;1620885664
1997229;96598025	3;1595231435
1997229;14387867	1;1668261428
1997229;14387867	3;1608304312
1997229;10597626	1;1581742561
1997229;146939171	2;1603702912
8225048;152447526	1;1623497231
1997229;185860448	3;1660134354
1997229;165846538	3;1612190244
1997229;185495918	3;1697879058
8225048;630208	2;1577709537
8225048;36626941	3;1609134360
8225048;147903538	1;1692875805
8225048;36627518	1;1599829805
8225048;160561889	1;1533046194
1997229;31502013	3;1607062608
1997229;24411504	3;1596256167
8225048;36627594	3;1611535212
1997229;72212532	2;1616713854
1997229;59453677	3;1611327397
8225048;57971650	3;1643336711
1997229;21441058	1;1646546874
8225048;77775167	1;1626788870
8225048;1025034	3;1628157246
8225048;55580719	3;1622422086
8225048;73124604	2;1542376883
1997229;11488924	1;1590842013
8225048;2130485	1;1635155483
1997229;17593519	3;1622563593
8225048;115701	3;1634549497
8225048;103534645	3;1591016989
1997229;34471557	3;1634127450
1997229;73277932	3;1632722621
8225048;59143356	1;1638180664
