18725843;148802205	5;1654337367
18725843;195801663	5;1671816519
18725843;193434493	5;1683747986
18725843;193434493	5;1683747986
18725843;190464441	5;1683747945
18725843;190464441	5;1683747945
18725843;76013379	5;1648481551
18725843;77105731	5;1616830584
19560867;158641030	5;1695118231
19560867;11357194	5;1614231277
19560867;111537690	5;1695118215
19560867;4781791	5;1616770717
19560867;8885996	5;1695118257
19560867;750581	5;1609134907
19560867;46837055	5;1614231285
19560867;49317817	5;1673957521
19560867;73787186	5;1675316246
19560867;3304877	5;1609743645
19560867;140416372	5;1646389911
19560867;52788073	4;1609047254
19560867;127522207	5;1675316212
19560867;103379149	5;1695118250
19560867;19274772	5;1695118244
19560867;192125796	5;1709112933
19560867;192125796	5;1709112933
19560867;8886002	5;1641305772
19560867;8835166	5;1614675534
19560867;7982629	5;1667378717
19560867;17336361	5;1645946474
19560867;126743460	5;1695118323
19560867;63473608	5;1646389917
19560867;3876679	5;1671101939
19560867;72102027	5;1645946507
19560867;56878837	5;1695118342
19560867;8886000	5;1695118353
19560867;3718337	5;1608191371
19560867;52329767	5;1622911038
19560867;117238178	5;1643875109
19560867;52329766	5;1621612938
19560867;50269974	5;1667378710
19560867;111537684	5;1695118238
19560867;74021318	5;1610884792
19560867;6807851	5;1645946501
19560867;87959749	5;1621510501
19560867;99513995	5;1643875106
19560867;160759006	5;1675316223
19560867;152875148	5;1706254780
19560867;3955615	5;1608191361
19560867;66090081	5;1675316226
19560867;641942	5;1695118263
19560867;55605171	5;1675316242
19560867;149257066	5;1709112959
19560867;127844386	5;1645946491
19560867;77105731	5;1643875091
592244;1460201	5;1575352882
592244;73878874	5;1637469756
592244;8885996	5;1667283651
23900344;174215337	4;1658024290
592244;92859699	5;1637469744
23900344;90643155	5;1654694105
592244;171549984	5;1661232614
592244;171549984	5;1661232614
592244;111580007	5;1640492436
592244;90622655	5;1637469752
592244;127522207	3;1626283379
592244;95311764	5;1629359898
23900344;186578229	5;1657944670
23900344;186578229	5;1657944670
592244;173882439	5;1661232798
23900344;173882439	5;1654928057
592244;100947283	5;1629359876
592244;100947283	5;1629359876
592244;106863965	5;1637469761
23900344;180851004	5;1654928338
23900344;180851004	5;1654928338
592244;52584835	5;1637469734
592244;7982629	5;1640492519
592244;14674575	5;1629954753
592244;46240930	5;1637469759
592244;54748900	5;1640492602
23900344;184774174	5;1655451735
592244;184774174	5;1662541388
23900344;184774174	5;1655451735
592244;184774174	5;1662541388
592244;78598428	5;1637469740
23900344;184774172	5;1657930470
23900344;184774172	5;1657930470
592244;139979525	5;1644027816
592244;139979525	5;1644027816
23900344;81437587	5;1639649060
592244;76175425	5;1623642626
592244;152517439	5;1667283640
592244;152517439	5;1667283640
592244;116397451	5;1629954756
23900344;117238178	5;1639649077
23900344;52329766	5;1639649087
592244;148760919	5;1661232676
23900344;114937971	5;1639649046
23900344;185242032	5;1655851310
23900344;185242032	5;1655851310
592244;57487634	5;1641873670
592244;56697258	5;1637469746
592244;40933974	5;1629359800
592244;168559523	5;1662702333
592244;168559523	5;1662702333
592244;148761078	5;1661232904
592244;93734072	5;1631167558
592244;49716242	5;1691681511
592244;153582	5;1662702551
592244;153582	5;1662702551
592244;130996089	5;1667283544
592244;130996089	5;1667283544
592244;71345382	5;1647146319
592244;72680633	5;1637469763
23900344;165030730	5;1660040589
23900344;165030730	5;1660040589
592244;27971954	5;1641873724
592244;69764542	5;1637469742
592244;23416723	5;1637469750
592244;189642777	5;1709868439
592244;189642777	5;1709868439
592244;109018531	5;1661232968
23900344;173420793	5;1654691119
23900344;173420793	5;1654691119
592244;95311758	5;1629359902
592244;50414369	5;1591624298
23900344;52789368	5;1654694143
592244;69624541	5;1637469738
23900344;193450573	5;1660961164
23900344;193450573	5;1660961164
23900344;77105731	5;1639649053
23900344;104273019	5;1639649094
828153;271967576	4;1698038813
828153;124939771	5;1667901669
828153;32033721	5;1681053004
828153;70766425	5;1694003560
828153;5986501	5;1576135005
828153;126709	5;1683636947
828153;11816048	5;1529381289
828153;14387867	5;1645234531
828153;54354089	5;1705155246
828153;102432144	5;1644675202
828153;162521515	5;1611148734
828153;73125532	5;1659337945
828153;253402948	5;1703655871
828153;54846891	5;1576135217
828153;25746247	5;1709473157
828153;24028051	5;1596207637
828153;34471557	5;1648477026
828153;34471557	5;1596207629
828153;34471557	5;1570964516
828153;116410111	5;1680926364
828153;74745960	5;1656572570
828153;141081	5;1709473166
828153;65032427	5;1618056155
828153;135325551	5;1647403016
828153;24030106	5;1632916927
828153;177062976	5;1708576203
828153;173164599	5;1663200505
828153;24028485	5;1633523444
828153;24028485	5;1633523444
8391901;186265458	5;1656126532
8391901;4781791	5;1657870667
8391901;193605365	5;1666666164
8391901;133599627	5;1671029554
8391901;174444165	5;1656830763
8391901;89585119	5;1666785916
8391901;90643155	5;1666412490
8391901;181131169	5;1654083814
8391901;195801706	5;1663899818
8391901;195801706	5;1663899818
8391901;188534369	5;1663652191
8391901;176909239	5;1663729715
8391901;197558908	5;1663746445
8391901;52788073	5;1614242120
8391901;160081249	5;1663652202
8391901;191920182	5;1659153493
8391901;72882555	5;1666785919
8391901;73523598	5;1632560873
8391901;127522207	5;1658204133
8391901;7644511	5;1615607173
828153;164091968	5;1643000896
8391901;37411898	5;1640061684
828153;19771358	5;1595211642
8391901;72314471	5;1615607180
828153;22528675	5;1527519501
8391901;96357337	5;1634639156
8391901;190861559	5;1661785473
8391901;50685549	5;1634558317
8391901;54614798	5;1639988137
828153;58213081	5;1659337949
8391901;5154513	5;1615607138
8391901;7982629	5;1615810315
8391901;125089637	5;1671029564
8391901;194205614	5;1661525304
828153;101297003	5;1655128550
828153;101297003	5;1655128550
8391901;17336361	5;1628853901
8391901;185071151	5;1655789124
8391901;162205267	5;1657882389
8391901;162140223	5;1657882376
8391901;185024357	5;1671000679
8391901;76012204	5;1614244061
8391901;76012204	5;1614244061
8391901;85029034	5;1622535745
8391901;81437587	3;1616399555
8391901;151994937	5;1654324030
8391901;192048664	5;1663729721
8391901;9948010	5;1615607154
8391901;188940826	5;1659712883
8391901;188536932	5;1666411809
8391901;188536932	5;1666411809
8391901;59010154	5;1628853903
828153;9687404	5;1683560424
8391901;86517374	5;1655979437
8391901;109017987	5;1662017687
8391901;8886006	5;1615607143
8391901;74903594	5;1671029649
8391901;87226757	5;1620738695
8391901;46723660	5;1620738682
8391901;90887878	5;1620738689
8391901;14053725	5;1615607161
8391901;178240556	5;1662377703
8391901;178240556	5;1662377703
